Date,ZINC,TIN,STEEL,NICKEL,MOLYBDENUM,LEAD,COBALT,COPPER,ALUMINIUM
2013-01-16,1941.75,24892.5,285,17282.5,26000,2323.25,25000,8058.5,1990.75
2013-01-17,1973.25,25175,290,17382.5,26000,2331.5,25000,8116.5,2003.25
2013-01-18,2028.25,25082.5,290,17620,26000,2322.5,25750,8070.75,2021.25
2013-01-21,2018.25,25022.5,265,17370,26000,2304.5,25250,8029.75,2000.75
2013-01-22,2026.25,24972.5,283.5,17372.5,26000,2257.25,26500,7944.5,2008.75
2013-01-23,2066.25,24837.5,290,17480,26000,2254.25,26500,7910.25,2047.25
2013-01-24,2056.75,24447.5,287,17287.5,25000,2269.5,26500,7927.5,2026.75
2013-01-25,2081.25,24705,285,17262.5,25000,2318.5,26500,8051.5,2042.25
2013-01-28,2070.25,24487.5,270,17407.5,25000,2295.75,26500,8020.25,2006.25
2013-01-29,2058.75,24477.5,262.5,17612.5,24800,2315.25,26500,8067.5,1997.5
2013-01-30,2118.5,25065,270,18202.5,24800,2372.25,26500,8115.25,2046.25
2013-01-31,2138.75,25087.5,272.5,18372.5,24800,2368.75,26500,8035.75,2073.25
2013-02-01,2129.5,24807.5,260.5,18377.5,24800,2399.25,24750,8059.75,2055.75
2013-02-04,2140.75,24942.5,270,18590,24800,2366,25000,8014.75,2078.5
2013-02-05,2144.75,24942.5,267.5,18562.5,24800,2377.5,25750,8010.25,2074.75
2013-02-06,2136.25,24847.5,280,18485,24800,2438.25,25250,8175.25,2059.25
2013-02-07,2136.75,24952.5,265,18217.5,25050,2437.75,25625,8169,2065.75
2013-02-08,2157.25,24872.5,265,18217.5,24800,2425.5,25625,8159.75,2066.25
2013-02-11,2185.75,24997.5,257.5,18237.5,24800,2442,25250,8225.75,2075.75
2013-02-12,2164.25,24922.5,263.5,18282.5,24800,2447.5,25250,8242.25,2059.25
2013-02-13,2187.25,24902.5,275,18277.5,24300,2424.25,25250,8199.5,2087.25
2013-02-14,2164.75,24777.5,270,18287.5,24300,2406.25,25250,8211.75,2114.5
2013-02-15,2167.75,24912.5,270,18240,24000,2408.5,25350,8214.75,2122.75
2013-02-18,2132.75,24697.5,270,17932.5,24000,2408.75,25350,8215.75,2085.75
2013-02-19,2121.75,23922.5,260,17582.5,24500,2375.25,25350,8184.25,2075.25
2013-02-20,2136.25,23897.5,260,17195,24500,2422.5,25400,8220.75,2065.25
